product_name,price_gbp,product_url,our_category,competitor,source,scrape_date
Autumnal Leaves Doormat,22.0,https://www.coxandcox.co.uk/autumnal-leaves-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Little Flowers Rubber Doormat - Large,30.0,https://www.coxandcox.co.uk/little-flowers-rubber-doormat-large/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Scalloped Jute Doormat,22.0,https://www.coxandcox.co.uk/scalloped-jute-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Scalloped Jute Doormat - Double,35.0,https://www.coxandcox.co.uk/scalloped-jute-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Textured Jute Doormat - Double,35.0,https://www.coxandcox.co.uk/textured-jute-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute French Stripe Doormat - Double,35.0,https://www.coxandcox.co.uk/braided-jute-french-stripe-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Stripe Doormat - Double,35.0,https://www.coxandcox.co.uk/braided-jute-stripe-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Oval Doormat,22.0,https://www.coxandcox.co.uk/braided-jute-oval-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Oval Doormat - Border,22.0,https://www.coxandcox.co.uk/braided-jute-oval-doormat-border/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Diamond Doormat,22.0,https://www.coxandcox.co.uk/braided-jute-diamond-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Geometric Jute Doormat,22.0,https://www.coxandcox.co.uk/geometric-jute-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Chunky Jute Doormat - Double,35.0,https://www.coxandcox.co.uk/chunky-jute-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Star Doormat - Slim Double,35.0,https://www.coxandcox.co.uk/star-doormat-slim-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Paw Print Doormat,25.0,https://www.coxandcox.co.uk/embossed-paw-print-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Doormat - Double,30.0,https://www.coxandcox.co.uk/braided-jute-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Welcome Doormat - Double,35.0,https://www.coxandcox.co.uk/welcome-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Dotty Doormat - Large,25.0,https://www.coxandcox.co.uk/dotty-doormat-extra-large/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Rubber Border Doormat - Natural,25.0,https://www.coxandcox.co.uk/rubber-border-doormat-natural/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Geometric Stain Resistant Runner,50.0,https://www.coxandcox.co.uk/geometric-stain-resistant-runner/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Bumble Bee Doormat,22.0,https://www.coxandcox.co.uk/embossed-bumble-bee-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Quatrefoil Doormat - Large,25.0,https://www.coxandcox.co.uk/embossed-quatrefoil-doormat-extra-large/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Stars Doormat - Double,35.0,https://www.coxandcox.co.uk/new-embossed-stars-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Maroq Rubber Doormat - Double,35.0,https://www.coxandcox.co.uk/new-maroq-rubber-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Paw Print Doormat - Double,35.0,https://www.coxandcox.co.uk/new-embossed-paw-print-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Rubber Star Doormat - Large,25.0,https://www.coxandcox.co.uk/new-embossed-rubber-star-doormat-extra-large/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Maroq Rubber Doormat,25.0,https://www.coxandcox.co.uk/maroq-rubber-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Stars Doormat,20.0,https://www.coxandcox.co.uk/new-embossed-stars-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Star Doormat,20.0,https://www.coxandcox.co.uk/star-doormat-medium-1/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Braided Jute Doormat,15.0,https://www.coxandcox.co.uk/braided-jute-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Maroq Golden Rubber Doormat,25.0,https://www.coxandcox.co.uk/maroq-golden-rubber-doormat/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
French Stripe Doormat,20.0,https://www.coxandcox.co.uk/french-stripe-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
French Stripe Doormat - Double,35.0,https://www.coxandcox.co.uk/french-stripe-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Border Doormat - Double,35.0,https://www.coxandcox.co.uk/border-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Border Doormat,22.0,https://www.coxandcox.co.uk/border-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Star Print Rubber Boot Tray,40.0,https://www.coxandcox.co.uk/star-print-rubber-boot-tray-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Star Rubber Doormat - Double,35.0,https://www.coxandcox.co.uk/star-rubber-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Star Rubber Doormat,25.0,https://www.coxandcox.co.uk/star-rubber-doormat-medium/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
Embossed Bumble Bee Doormat - Double,35.0,https://www.coxandcox.co.uk/embossed-bumble-bee-doormat-double/,Doormats,Cox & Cox,HTML Scrape,2026-03-21
