StockCode,customer_type,Description,Category,elasticity_coefficient,r_squared,p_value,observation_count,mean_price,mean_weekly_quantity,total_revenue,is_significant,elasticity_type,commercial_priority,estimated_annual_opportunity
10002,RETAIL,INFLATABLE POLITICAL GLOBE,Home & Giftware,-26.782309619575354,0.14976819034090305,0.006014400988172195,49,0.8478253596520574,22.183673469387756,891.4499999999999,True,ELASTIC,MEDIUM,0.0
10002,WHOLESALE,INFLATABLE POLITICAL GLOBE,Home & Giftware,-18.20285685247644,0.48134869868337493,2.186573504565833e-09,57,0.8285754658588343,91.3859649122807,3956.2700000000004,True,ELASTIC,MEDIUM,0.0
10125,WHOLESALE,MINI FUNKY DESIGN TAPES,Home & Giftware,-0.4199297781902068,5.551115123125783e-16,1.1379822541034738e-18,43,0.8500000000000001,20.790697674418606,759.9,True,INELASTIC,HIGH,49.44654576941065
10133,RETAIL,COLOURING PENCILS BROWN TUBE,Home & Giftware,-0.38422713894215177,0.0,1.66937653245118e-14,30,0.8500000000000002,15.166666666666666,386.75000000000006,True,INELASTIC,HIGH,38.703629365359426
10133,WHOLESALE,COLOURING PENCILS BROWN TUBE,Home & Giftware,-3.7392891379376967,0.07339580917093291,0.10483456863057389,37,0.8369819819819821,17.2972972972973,524.2,False,ELASTIC,LOW,0.0
10135,RETAIL,COLOURING PENCILS BROWN TUBE,Home & Giftware,-4.497234487911446,0.09130301370850769,0.023612295559876432,56,1.2333669259783122,14.696428571428571,974.15,True,ELASTIC,MEDIUM,0.0
10135,WHOLESALE,COLOURING PENCILS BROWN TUBE,Home & Giftware,-2.3945308437124,0.18271051422669837,0.0003832333881591684,65,1.3525055457446087,29.523076923076925,2304.6600000000003,True,ELASTIC,MEDIUM,0.0
11001,RETAIL,ASSTD DESIGN RACING CAR PEN,Home & Giftware,-10.549666587572485,0.06703311366147136,0.06657215920061002,51,1.6833333333333331,20.235294117647058,1705.9999999999995,False,ELASTIC,LOW,0.0
11001,WHOLESALE,ASSTD DESIGN RACING CAR PEN,Home & Giftware,-4.533233516555469,0.5008682242691965,6.352079381562514e-09,51,1.790194603523765,58.13725490196079,4431.570000000001,True,ELASTIC,MEDIUM,0.0
15036,RETAIL,ASSORTED COLOURS SILK FAN,Home & Giftware,2.150147847569345,0.024246993323067567,0.17627789123253948,77,0.7744155844155843,73.49350649350649,4434.59,False,UNUSUAL,LOW,0.0
15036,WHOLESALE,ASSORTED COLOURS SILK FAN,Home & Giftware,-5.913850755317812,0.15955692515424913,6.070901599530147e-05,95,0.7328723976500873,321.5473684210526,20973.769999999993,True,ELASTIC,MEDIUM,0.0
