StockCode,customer_type,Description,Category,elasticity_coefficient,r_squared,p_value,observation_count,mean_price,mean_weekly_quantity,total_revenue,is_significant,elasticity_type,commercial_priority,estimated_annual_opportunity
10002,RETAIL,INFLATABLE POLITICAL GLOBE,Home & Giftware,-26.782309619575354,0.14976819034090305,0.006014400988172195,49,0.8478253596520574,22.183673469387756,891.4499999999999,True,ELASTIC,MEDIUM,0.0
10133,RETAIL,COLOURING PENCILS BROWN TUBE,Home & Giftware,-0.38422713894215177,0.0,1.66937653245118e-14,30,0.8500000000000002,15.166666666666666,386.75000000000006,True,INELASTIC,HIGH,38.703629365359426
10135,RETAIL,COLOURING PENCILS BROWN TUBE,Home & Giftware,-4.497234487911446,0.09130301370850769,0.023612295559876432,56,1.2333669259783122,14.696428571428571,974.15,True,ELASTIC,MEDIUM,0.0
11001,RETAIL,ASSTD DESIGN RACING CAR PEN,Home & Giftware,-10.549666587572485,0.06703311366147136,0.06657215920061002,51,1.6833333333333331,20.235294117647058,1705.9999999999995,False,ELASTIC,LOW,0.0
15036,RETAIL,ASSORTED COLOURS SILK FAN,Home & Giftware,2.150147847569345,0.024246993323067567,0.17627789123253948,77,0.7744155844155843,73.49350649350649,4434.59,False,UNUSUAL,LOW,0.0
15039,RETAIL,SANDALWOOD FAN,Home & Giftware,-7.554157908854146,0.15620601055330152,0.002822857670980372,55,0.844204998189062,18.70909090909091,794.6500000000001,True,ELASTIC,MEDIUM,0.0
15044A,RETAIL,PINK PAPER PARASOL,Home & Giftware,0.6337911847312776,0.0,3.647338594534804e-12,47,2.95,5.25531914893617,728.6500000000002,True,UNUSUAL,LOW,0.0
15044B,RETAIL,BLUE PAPER PARASOL,Home & Giftware,0.5617781684786936,0.0,3.7065061161040296e-07,30,2.950000000000001,4.633333333333334,410.05,True,UNUSUAL,LOW,0.0
15044C,RETAIL,PURPLE PAPER PARASOL,Home & Giftware,0.49911124329480727,2.220446049250313e-16,8.637978704932525e-08,42,2.9500000000000006,4.428571428571429,548.7000000000002,True,UNUSUAL,LOW,0.0
15044D,RETAIL,RED PAPER PARASOL,Home & Giftware,-19.0051359683593,0.33272020640750466,6.37572357362219e-05,42,2.930952380952381,7.738095238095238,910.7500000000001,True,ELASTIC,MEDIUM,0.0
15056BL,RETAIL,EDWARDIAN PARASOL BLACK,Home & Giftware,-17.742625762204327,0.14953874741067952,0.00021579008405697096,87,5.930839215738456,9.28735632183908,4687.599999999999,True,ELASTIC,MEDIUM,0.0
15056N,RETAIL,EDWARDIAN PARASOL NATURAL,Home & Giftware,-28.013521010731186,0.08615792107840248,0.004295949611260641,93,5.943855606758837,10.376344086021506,5681.749999999999,True,ELASTIC,MEDIUM,0.0
15056P,RETAIL,EDWARDIAN PARASOL PINK,Home & Giftware,0.4034597946686659,1.1102230246251565e-16,6.785535025505862e-13,56,5.950000000000001,3.4107142857142856,1136.4500000000003,True,UNUSUAL,LOW,0.0
15058A,RETAIL,BLUE POLKADOT GARDEN PARASOL,Home & Giftware,-3.6157794330346174,0.6358591295800795,1.3262468574221755e-07,30,7.172076619033139,5.6,963.6000000000001,True,ELASTIC,MEDIUM,0.0
17107D,RETAIL,FLOWER FAIRY 5 DRAWER LINERS,Home & Giftware,0.48724098804900406,2.220446049250313e-16,2.8654166666199524e-07,30,2.5499999999999994,3.6,275.40000000000003,True,UNUSUAL,LOW,0.0
17165D,RETAIL,ASS COL LARGE SAND FROG P'WEIGHT,Home & Giftware,-4.666744275994945,0.19374378262775738,0.013212338160537993,31,1.029765797613787,10.838709677419354,322.92,True,ELASTIC,MEDIUM,0.0
