StockCode,customer_type,Description,Category,elasticity_coefficient,r_squared,p_value,observation_count,mean_price,mean_weekly_quantity,total_revenue,is_significant,elasticity_type,commercial_priority,estimated_annual_opportunity
10002,WHOLESALE,INFLATABLE POLITICAL GLOBE,Home & Giftware,-18.20285685247644,0.48134869868337493,2.186573504565833e-09,57,0.8285754658588343,91.3859649122807,3956.2700000000004,True,ELASTIC,MEDIUM,0.0
10125,WHOLESALE,MINI FUNKY DESIGN TAPES,Home & Giftware,-0.4199297781902068,5.551115123125783e-16,1.1379822541034738e-18,43,0.8500000000000001,20.790697674418606,759.9,True,INELASTIC,HIGH,49.44654576941065
10133,WHOLESALE,COLOURING PENCILS BROWN TUBE,Home & Giftware,-3.7392891379376967,0.07339580917093291,0.10483456863057389,37,0.8369819819819821,17.2972972972973,524.2,False,ELASTIC,LOW,0.0
10135,WHOLESALE,COLOURING PENCILS BROWN TUBE,Home & Giftware,-2.3945308437124,0.18271051422669837,0.0003832333881591684,65,1.3525055457446087,29.523076923076925,2304.6600000000003,True,ELASTIC,MEDIUM,0.0
11001,WHOLESALE,ASSTD DESIGN RACING CAR PEN,Home & Giftware,-4.533233516555469,0.5008682242691965,6.352079381562514e-09,51,1.790194603523765,58.13725490196079,4431.570000000001,True,ELASTIC,MEDIUM,0.0
15036,WHOLESALE,ASSORTED COLOURS SILK FAN,Home & Giftware,-5.913850755317812,0.15955692515424913,6.070901599530147e-05,95,0.7328723976500873,321.5473684210526,20973.769999999993,True,ELASTIC,MEDIUM,0.0
15039,WHOLESALE,SANDALWOOD FAN,Home & Giftware,-6.7423580881771965,0.45802698296036215,6.828479211070398e-08,50,0.7948386092298168,59.08,1915.7,True,ELASTIC,MEDIUM,0.0
15044A,WHOLESALE,PINK PAPER PARASOL,Home & Giftware,-18.036133924147876,0.46518609718715564,7.126528825960035e-09,56,2.8954391265312176,79.66071428571429,11563.590000000004,True,ELASTIC,MEDIUM,0.0
15044B,WHOLESALE,BLUE PAPER PARASOL,Home & Giftware,-20.2418197496732,0.5664534906470865,1.9016041025409808e-10,51,2.8728801113034512,27.470588235294116,3718.55,True,ELASTIC,MEDIUM,0.0
15044C,WHOLESALE,PURPLE PAPER PARASOL,Home & Giftware,-16.999808282302663,0.39014875440253005,4.469501505756368e-07,54,2.9039258223568614,11.703703703703704,1750.0000000000002,True,ELASTIC,MEDIUM,0.0
15044D,WHOLESALE,RED PAPER PARASOL,Home & Giftware,-15.804817919987784,0.4042047107416368,2.8240713839720594e-08,62,2.8930724566165114,18.177419354838708,3070.6899999999987,True,ELASTIC,MEDIUM,0.0
15056BL,WHOLESALE,EDWARDIAN PARASOL BLACK,Home & Giftware,-6.483146293208768,0.3673224660967891,3.772033924538448e-11,98,5.558785985815566,77.08163265306122,35486.41,True,ELASTIC,MEDIUM,0.0
15056N,WHOLESALE,EDWARDIAN PARASOL NATURAL,Home & Giftware,-6.216354398608999,0.443675956541946,5.332879058258225e-14,99,5.428484015698946,91.57575757575758,43446.71,True,ELASTIC,MEDIUM,0.0
15056P,WHOLESALE,EDWARDIAN PARASOL PINK,Home & Giftware,-6.770444797839726,0.4090509173349045,2.2307804599661553e-10,79,5.833041509206618,24.050632911392405,8743.609999999997,True,ELASTIC,MEDIUM,0.0
15058A,WHOLESALE,BLUE POLKADOT GARDEN PARASOL,Home & Giftware,-4.189693992819447,0.5783147524534831,1.079501039900254e-06,30,7.297272727272726,7.0,1249.5,True,ELASTIC,MEDIUM,0.0
15060B,WHOLESALE,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Baking,-2.6938985676444434,0.1651492816733935,0.0007821522253086725,65,3.82715329170416,9.507692307692308,2191.9199999999996,True,ELASTIC,MEDIUM,0.0
16016,WHOLESALE,LARGE CHINESE STYLE SCISSOR,Home & Giftware,-9.879795173638799,0.22170462851367556,0.0014393541612956837,43,0.8265625692137321,34.83720930232558,1177.1,True,ELASTIC,MEDIUM,0.0
16225,WHOLESALE,RATTLE SNAKE EGGS,Home & Giftware,-2.0312209654165954,0.15128609876273968,0.025277088822763166,33,1.3331378574477164,10.696969696969697,400.45,True,ELASTIC,MEDIUM,0.0
18097C,WHOLESALE,WHITE TALL PORCELAIN T-LIGHT HOLDER,Candles & Lighting,-4.968982865193786,0.40829630204693945,4.5091832437689e-07,51,2.473514954368844,13.156862745098039,1352.25,True,ELASTIC,MEDIUM,0.0
18098C,WHOLESALE,PORCELAIN BUTTERFLY OIL BURNER,Nature & Animals,-3.2614181151781594,0.4075005902928468,2.0684874322834893e-07,54,2.820638918455145,14.944444444444445,1919.8500000000004,True,ELASTIC,MEDIUM,0.0
20615,WHOLESALE,BLUE POLKADOT PASSPORT COVER,Home & Giftware,-1.251535910589587,0.2564751208423963,0.0042949531647407755,30,1.8336666666666668,9.733333333333333,360.6400000000001,True,ELASTIC,MEDIUM,0.0
20652,WHOLESALE,BLUE POLKADOT LUGGAGE TAG,Home & Giftware,-1.5101269197031506,0.08028345435444373,0.12919588123731,30,1.40125,6.066666666666666,234.76,False,ELASTIC,LOW,0.0
20655,WHOLESALE,QUEEN OF SKIES LUGGAGE TAG,Home & Giftware,-2.844939957887356,0.196805433048025,0.004672501262237758,39,1.2651190476190477,3.8974358974358974,181.02,True,ELASTIC,MEDIUM,0.0
20658,WHOLESALE,RED RETROSPOT LUGGAGE TAG,Home & Giftware,-3.6125955833146373,0.011686231483245546,0.44100538214795904,53,1.243342318059299,11.037735849056604,726.69,False,ELASTIC,LOW,0.0
20659,WHOLESALE,ECONOMY LUGGAGE TAG,Home & Giftware,-0.8768651705153349,0.06291710261972139,0.1400539361155726,36,1.4511944444444442,5.111111111111111,247.22,False,INELASTIC,LOW,0.0
20665,WHOLESALE,RED RETROSPOT PURSE,Home & Giftware,-7.815347812353835,0.06225956412055944,0.06882364591896557,54,2.928477532863497,8.407407407407407,1322.5,False,ELASTIC,LOW,0.0
20669,WHOLESALE,RED HEART LUGGAGE TAG,Home & Giftware,-10.54966936231606,0.024476316944689436,0.31051003254383536,44,1.247121212121212,9.863636363636363,540.22,False,ELASTIC,LOW,0.0
20671,WHOLESALE,BLUE TEATIME PRINT BOWL,Home & Giftware,-12.819782226233336,0.1926002140369074,0.00941823101285061,34,1.244705882352941,14.588235294117647,606.3199999999999,True,ELASTIC,MEDIUM,0.0
20674,WHOLESALE,GREEN POLKADOT BOWL,Home & Giftware,-12.89463800450611,0.300198550977792,1.7302440629594515e-07,79,1.2307166333263393,22.20253164556962,2070.59,True,ELASTIC,MEDIUM,0.0
20675,WHOLESALE,BLUE POLKADOT BOWL,Home & Giftware,-12.883930291279736,0.491156846045269,7.40485291965383e-15,92,1.2149983864469063,37.81521739130435,4021.64,True,ELASTIC,MEDIUM,0.0
