StockCode,customer_type,Description,Category,elasticity_coefficient,r_squared,p_value,observation_count,mean_price,mean_weekly_quantity,total_revenue,is_significant,elasticity_type,commercial_priority,estimated_annual_opportunity
21034,RETAIL,REX CASH+CARRY JUMBO SHOPPER,Home & Giftware,-0.14876913627719027,0.0,8.596161132014983e-63,103,0.9500000000000001,23.718446601941746,2320.8500000000004,True,INELASTIC,HIGH,97.99486153792812
22593,RETAIL,CHRISTMAS GINGHAM STAR,Christmas,-0.5354654383061206,0.0,8.871262959295103e-19,36,0.8500000000000001,47.5,1453.5000000000002,True,INELASTIC,HIGH,86.286934350393
22595,RETAIL,CHRISTMAS GINGHAM HEART,Christmas,-0.5289501559900078,-2.220446049250313e-16,1.480703414443324e-31,61,0.85,46.47540983606557,2409.7499999999995,True,INELASTIC,HIGH,85.89791325196083
22574,RETAIL,HEART WOODEN CHRISTMAS DECORATION,Christmas,-0.5103386472397072,2.220446049250313e-16,8.650173558655869e-16,31,0.8500000000000003,43.354838709677416,1142.4,True,INELASTIC,HIGH,84.05347806871005
22418,RETAIL,10 COLOUR SPACEBOY PEN,Home & Giftware,-0.5098851361748419,-2.220446049250313e-16,1.1895164080735574e-32,61,0.85,35.721311475409834,1852.15,True,INELASTIC,HIGH,69.33286756710075
22600,RETAIL,CHRISTMAS RETROSPOT STAR WOOD,Christmas,-0.47567721632307464,1.1102230246251565e-16,2.7231937378360564e-17,38,0.8500000000000001,32.473684210526315,1048.8999999999999,True,INELASTIC,HIGH,68.43041052128207
22602,RETAIL,CHRISTMAS RETROSPOT HEART WOOD,Christmas,-0.4852870396206858,3.3306690738754696e-16,7.312808632608418e-23,44,0.8500000000000001,33.04545454545455,1235.8999999999999,True,INELASTIC,HIGH,68.09129629617239
35961,WHOLESALE,FOLKART ZINC HEART CHRISTMAS DEC,Christmas,-0.46696718383542596,-2.220446049250313e-16,3.339713161593255e-36,76,0.85,30.723684210526315,1984.7499999999998,True,INELASTIC,HIGH,66.04380216274595
51014A,RETAIL,"FEATHER PEN,HOT PINK",Home & Giftware,-0.49084082938235524,-2.220446049250313e-16,1.6666097022054593e-22,33,0.85,32.42424242424242,909.4999999999999,True,INELASTIC,HIGH,65.93573089912115
22577,RETAIL,WOODEN HEART CHRISTMAS SCANDINAVIAN,Christmas,-0.4229300142421373,-4.440892098500626e-16,1.005126955138747e-16,41,0.8500000000000001,27.73170731707317,966.4499999999999,True,INELASTIC,HIGH,65.54983233775918
22573,RETAIL,STAR WOODEN CHRISTMAS DECORATION,Christmas,-0.48020916239159156,0.0,3.76175496356485e-18,33,0.8499999999999999,31.060606060606062,871.2499999999999,True,INELASTIC,HIGH,64.7682917807086
21818,RETAIL,GLITTER CHRISTMAS HEART,Christmas,-0.3878271284602146,0.0,3.0608709234529737e-13,36,0.8500000000000001,23.97222222222222,733.5500000000001,True,INELASTIC,HIGH,60.75482846475042
84006,WHOLESALE,MAGIC TREE -PAPER FLOWERS,Home & Giftware,-0.43536716653294677,1.1102230246251565e-16,5.89812787514102e-17,39,0.8500000000000003,26.28205128205128,871.2500000000001,True,INELASTIC,HIGH,60.53399890319832
22228,WHOLESALE,BUNNY WOODEN PAINTED WITH BIRD,Nature & Animals,-0.4292215097460477,1.1102230246251565e-16,3.162326018523826e-13,32,0.8499999999999999,25.84375,702.95,True,INELASTIC,HIGH,60.296699725667814
21385,RETAIL,IVORY HANGING DECORATION  HEART,Home & Giftware,-0.4601547393468603,3.3306690738754696e-16,5.103046400436139e-43,87,0.8499999999999994,27.517241379310345,2034.8999999999994,True,INELASTIC,HIGH,60.062643811098624
22576,RETAIL,SWALLOW WOODEN CHRISTMAS DECORATION,Christmas,-0.4588726711132687,0.0,3.1656667696641403e-16,30,0.8500000000000002,26.8,683.3999999999999,True,INELASTIC,HIGH,58.66415675766732
21034,WHOLESALE,REX CASH+CARRY JUMBO SHOPPER,Home & Giftware,-0.11829919865669344,2.220446049250313e-16,4.3231971304469714e-48,100,0.95,13.55,1287.25,True,INELASTIC,HIGH,58.226547193468605
22219,RETAIL,LOVEBIRD HANGING DECORATION WHITE,Nature & Animals,-0.4615908370662376,-4.440892098500626e-16,2.7244279460905822e-48,93,0.8499999999999995,26.043010752688172,2058.7,True,INELASTIC,HIGH,56.66295954995196
21787,RETAIL,RAIN PONCHO RETROSPOT,Home & Giftware,-0.389213106399082,1.1102230246251565e-16,1.7077743964792402e-22,62,0.8500000000000001,22.35483870967742,1178.1000000000001,True,INELASTIC,HIGH,56.5051158885339
21642,RETAIL,ASSORTED TUTTI FRUTTI PEN,Home & Giftware,-0.39776581692933494,0.0,3.347105906556363e-13,34,0.85,22.529411764705884,651.1,True,INELASTIC,HIGH,56.00952794519451
84971S,RETAIL,SMALL HEART FLOWERS HOOK,Home & Giftware,-0.3977511521334493,-2.220446049250313e-16,1.6288607837961925e-23,64,0.8499999999999999,22.203125,1207.85,True,INELASTIC,HIGH,55.19994171129544
23204,RETAIL,CHARLOTTE BAG APPLES DESIGN,Bags,-0.4537560438209893,0.0,1.7438406152724624e-16,31,0.8500000000000003,24.451612903225808,644.3,True,INELASTIC,HIGH,54.13191261697749
21640,RETAIL,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,Home & Giftware,-0.3646415422696212,3.3306690738754696e-16,6.461954991892903e-15,45,0.8500000000000002,20.244444444444444,774.3499999999998,True,INELASTIC,HIGH,53.58932845273175
21640,WHOLESALE,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,Home & Giftware,-0.4009705766539531,-2.220446049250313e-16,2.9065785052808407e-16,40,0.85,21.125,718.25,True,INELASTIC,HIGH,52.18891231451665
20982,RETAIL,12 PENCILS TALL TUBE SKULLS,Home & Giftware,-0.36663365275308896,-2.220446049250313e-16,1.8188111825516783e-29,85,0.8499999999999995,19.24705882352941,1390.6,True,INELASTIC,HIGH,50.762716082288115
20983,RETAIL,12 PENCILS TALL TUBE RED RETROSPOT,Home & Giftware,-0.38234718417365876,0.0,6.704701778873124e-32,81,0.8499999999999998,19.469135802469136,1340.45,True,INELASTIC,HIGH,49.86100174189725
10125,WHOLESALE,MINI FUNKY DESIGN TAPES,Home & Giftware,-0.4199297781902068,5.551115123125783e-16,1.1379822541034738e-18,43,0.8500000000000001,20.790697674418606,759.9,True,INELASTIC,HIGH,49.44654576941065
84832,RETAIL,ZINC WILLIE WINKIE  CANDLE STICK,Candles & Lighting,-0.42007926077169555,0.0,1.1944042283775636e-31,64,0.8499999999999999,20.53125,1116.8999999999999,True,INELASTIC,HIGH,48.814579206940834
23205,RETAIL,CHARLOTTE BAG ALPHABET  DESIGN,Bags,-0.43880802819577386,1.1102230246251565e-16,1.858750233668679e-21,36,0.8500000000000002,20.583333333333332,629.85,True,INELASTIC,HIGH,47.06410796894172
20719,RETAIL,WOODLAND CHARLOTTE BAG,Bags,-0.40812167384675685,-2.220446049250313e-16,1.4581173416911008e-40,89,0.8499999999999998,18.95505617977528,1433.95,True,INELASTIC,HIGH,46.16906579218171
